# iteration  loss_bc  loss_res  l2_error
0.000000e+00 3.802338e+00 1.180511e+05 1.815670e+00
1.000000e+02 5.738906e+01 1.243329e+05 4.336342e+00
2.000000e+02 3.253643e+01 1.078398e+05 2.806734e+00
3.000000e+02 6.276506e+01 9.725752e+04 3.718254e+00
4.000000e+02 7.814708e+01 2.560863e+04 4.567252e+00
5.000000e+02 1.450148e+02 6.473713e+02 6.373394e+00
6.000000e+02 1.685206e+02 1.027749e+02 6.797385e+00
7.000000e+02 1.753390e+02 8.955451e+01 6.922564e+00
8.000000e+02 1.790424e+02 8.509387e+01 6.974078e+00
9.000000e+02 1.782506e+02 4.964359e+01 6.947861e+00
1.000000e+03 1.742586e+02 4.038228e+01 6.892686e+00
1.100000e+03 1.712018e+02 4.901170e+01 6.809493e+00
1.200000e+03 1.667681e+02 4.688930e+01 6.715758e+00
1.300000e+03 1.622341e+02 4.246227e+01 6.619236e+00
1.400000e+03 1.549164e+02 4.122733e+01 6.474109e+00
1.500000e+03 1.478039e+02 3.981142e+01 6.315178e+00
1.600000e+03 1.399438e+02 5.012466e+01 6.150087e+00
1.700000e+03 1.329471e+02 4.655084e+01 5.998218e+00
1.800000e+03 1.259571e+02 4.496101e+01 5.843203e+00
1.900000e+03 1.197110e+02 3.643157e+01 5.691627e+00
2.000000e+03 1.134174e+02 4.902730e+01 5.535954e+00
2.100000e+03 1.037912e+02 3.119920e+01 5.274561e+00
2.200000e+03 8.667627e+01 2.590169e+01 4.833713e+00
2.300000e+03 7.120570e+01 4.127374e+01 4.367105e+00
2.400000e+03 5.336518e+01 1.607347e+01 3.788789e+00
2.500000e+03 3.852230e+01 1.409936e+01 3.205500e+00
2.600000e+03 2.873073e+01 2.420541e+01 2.766657e+00
2.700000e+03 2.183642e+01 9.986385e+00 2.419512e+00
2.800000e+03 1.651891e+01 2.312031e+01 2.100943e+00
2.900000e+03 1.256602e+01 2.116274e+01 1.834498e+00
3.000000e+03 9.232025e+00 1.480685e+01 1.580504e+00
3.100000e+03 6.670549e+00 1.347227e+01 1.326378e+00
3.200000e+03 4.683228e+00 1.159559e+01 1.119294e+00
3.300000e+03 3.161697e+00 8.597475e+00 9.282132e-01
3.400000e+03 2.158515e+00 7.660459e+00 7.610364e-01
3.500000e+03 1.487248e+00 4.477938e+00 6.334442e-01
3.600000e+03 1.061904e+00 1.898323e+01 5.352161e-01
3.700000e+03 7.560019e-01 8.888574e+00 4.478680e-01
3.800000e+03 5.223216e-01 3.082674e+00 3.715600e-01
3.900000e+03 3.776079e-01 3.306389e+00 3.169664e-01
