# iteration  loss_bc  loss_res  l2_error
0.000000e+00 7.424216e+00 2.191908e+05 2.088403e+00
1.000000e+02 6.205235e+00 1.067203e+02 1.978695e+00
2.000000e+02 5.226916e+00 1.958972e+01 1.854117e+00
3.000000e+02 4.330327e+00 9.230919e+00 1.729127e+00
4.000000e+02 3.562718e+00 7.181989e+00 1.604208e+00
5.000000e+02 2.924076e+00 6.339604e+00 1.480539e+00
6.000000e+02 2.410423e+00 4.027130e+00 1.358984e+00
7.000000e+02 1.968663e+00 4.285976e+00 1.240606e+00
8.000000e+02 1.611873e+00 2.554562e+00 1.127224e+00
9.000000e+02 1.314429e+00 2.272521e+00 1.018413e+00
1.000000e+03 1.060208e+00 2.750346e+00 9.142766e-01
1.100000e+03 8.488681e-01 1.563681e+00 8.172476e-01
1.200000e+03 6.756631e-01 1.577394e+00 7.264945e-01
1.300000e+03 5.409243e-01 2.817386e+00 6.425466e-01
1.400000e+03 4.212738e-01 1.822325e+00 5.651092e-01
1.500000e+03 3.330307e-01 1.519364e+00 4.956678e-01
1.600000e+03 2.593608e-01 1.193275e+00 4.317729e-01
1.700000e+03 2.040753e-01 1.793577e+00 3.746242e-01
1.800000e+03 1.592564e-01 2.437765e+00 3.240978e-01
1.900000e+03 1.288675e-01 1.668732e+00 2.806504e-01
2.000000e+03 1.033180e-01 2.662592e+00 2.432596e-01
2.100000e+03 8.523954e-02 4.042035e+00 2.108103e-01
2.200000e+03 6.989363e-02 2.077539e+00 1.852510e-01
2.300000e+03 6.089221e-02 2.358629e+00 1.624064e-01
2.400000e+03 5.221459e-02 2.362127e+00 1.455219e-01
2.500000e+03 4.909430e-02 1.097248e+00 1.318149e-01
2.600000e+03 4.193916e-02 8.537385e+00 1.208172e-01
2.700000e+03 4.134833e-02 3.822383e+00 1.132206e-01
2.800000e+03 3.812345e-02 8.719542e+00 1.067341e-01
2.900000e+03 3.608006e-02 2.786207e+00 1.030825e-01
3.000000e+03 3.496340e-02 7.213126e+00 9.878243e-02
3.100000e+03 2.935493e-02 4.251013e+01 9.970927e-02
3.200000e+03 2.623671e-02 2.364272e+01 9.069244e-02
3.300000e+03 2.252724e-02 2.127360e+01 8.995632e-02
3.400000e+03 2.806927e-02 8.416465e+01 8.727795e-02
3.500000e+03 2.271562e-02 1.887250e+01 8.075789e-02
3.600000e+03 2.028660e-02 2.329921e+00 7.723387e-02
3.700000e+03 1.897666e-02 8.161132e-01 7.396983e-02
3.800000e+03 1.808306e-02 1.532642e+00 7.151589e-02
3.900000e+03 1.785892e-02 7.917303e-01 6.884148e-02
4.000000e+03 1.650663e-02 1.290484e+00 6.709369e-02
4.100000e+03 1.590286e-02 6.272080e-01 6.516677e-02
4.200000e+03 1.509941e-02 2.934176e+00 6.613008e-02
4.300000e+03 1.367658e-02 4.570150e+00 6.540696e-02
4.400000e+03 1.440293e-02 5.650863e+01 6.041743e-02
4.500000e+03 1.091509e-02 2.099790e+01 5.746055e-02
4.600000e+03 1.177907e-02 3.078056e+01 5.326853e-02
4.700000e+03 1.012329e-02 1.155413e+01 4.997061e-02
4.800000e+03 8.460081e-03 8.207695e+00 5.007761e-02
4.900000e+03 8.408684e-03 8.643462e+00 4.873301e-02
5.000000e+03 7.645911e-03 6.301341e+00 4.605434e-02
5.100000e+03 7.474433e-03 1.763320e+00 4.372708e-02
5.200000e+03 6.732672e-03 3.842905e+00 4.309566e-02
5.300000e+03 6.638358e-03 5.928572e+00 4.149221e-02
5.400000e+03 5.586567e-03 1.459018e+01 4.327847e-02
5.500000e+03 5.569373e-03 2.598738e+01 3.867374e-02
5.600000e+03 4.921226e-03 2.441581e+01 3.587255e-02
5.700000e+03 5.040881e-03 6.026748e+00 3.607439e-02
5.800000e+03 4.173726e-03 1.606076e+00 3.543272e-02
5.900000e+03 4.150349e-03 1.034782e+00 3.324449e-02
6.000000e+03 3.563323e-03 2.107169e+00 3.156454e-02
6.100000e+03 3.657314e-03 4.757557e-01 3.159982e-02
6.200000e+03 3.585297e-03 9.954543e-01 3.137582e-02
6.300000e+03 3.106135e-03 4.467743e+00 3.067587e-02
6.400000e+03 3.423179e-03 3.954585e+00 2.868543e-02
6.500000e+03 3.428861e-03 1.894891e+01 2.764572e-02
6.600000e+03 1.965783e-03 1.959985e+01 2.553442e-02
6.700000e+03 3.063691e-03 2.758620e+01 2.253793e-02
6.800000e+03 1.801294e-03 2.598929e+00 1.964715e-02
6.900000e+03 1.376195e-03 2.114533e+00 2.042218e-02
7.000000e+03 1.387589e-03 6.017154e-01 1.845543e-02
7.100000e+03 1.327551e-03 5.432754e-01 1.900794e-02
7.200000e+03 1.115226e-03 1.434464e+00 1.925724e-02
7.300000e+03 1.206366e-03 1.394382e+00 1.764528e-02
7.400000e+03 1.178507e-03 6.052427e+00 1.573428e-02
7.500000e+03 9.004402e-04 8.606355e+00 1.926025e-02
7.600000e+03 7.862115e-04 1.473776e+01 1.591723e-02
7.700000e+03 5.787361e-04 3.702118e+00 1.640846e-02
7.800000e+03 7.247158e-04 5.939352e+00 1.333924e-02
7.900000e+03 5.641050e-04 8.429894e+00 1.292157e-02
8.000000e+03 6.510756e-04 2.559339e+00 1.387780e-02
8.100000e+03 4.765142e-04 6.070736e+00 1.183161e-02
8.200000e+03 7.551389e-04 1.582569e+01 1.116066e-02
8.300000e+03 3.424470e-04 1.218213e+01 1.353142e-02
8.400000e+03 2.520062e-04 2.020922e+00 8.838169e-03
8.500000e+03 2.369686e-04 1.982336e-01 7.792119e-03
8.600000e+03 2.437813e-04 3.266816e-01 8.109538e-03
8.700000e+03 2.260119e-04 7.346334e-01 8.200762e-03
8.800000e+03 1.366319e-04 5.281314e+00 1.003865e-02
8.900000e+03 6.118537e-04 1.799651e+01 1.047634e-02
9.000000e+03 4.373217e-05 2.656209e+00 6.671143e-03
9.100000e+03 4.828651e-05 1.346636e+00 5.395036e-03
9.200000e+03 7.697225e-05 4.518619e-01 5.592609e-03
9.300000e+03 8.844816e-05 3.892043e-01 5.203433e-03
9.400000e+03 5.418892e-05 6.333817e+00 5.668235e-03
9.500000e+03 2.586956e-05 6.958067e+00 7.059664e-03
9.600000e+03 1.092955e-05 1.034389e+01 6.755622e-03
9.700000e+03 4.761149e-05 9.220899e-01 3.529515e-03
9.800000e+03 1.718125e-05 1.270767e+00 3.725416e-03
9.900000e+03 2.595557e-05 2.518789e-01 2.392146e-03
1.000000e+04 2.586017e-05 5.985605e-01 2.106592e-03
1.010000e+04 4.757846e-05 1.869764e+00 3.438180e-03
1.020000e+04 1.530363e-04 2.058323e+01 1.231816e-02
1.030000e+04 1.644438e-05 6.540632e+00 8.356279e-03
1.040000e+04 1.394687e-05 2.775216e-01 2.553618e-03
1.050000e+04 4.337915e-06 1.431775e-01 1.548909e-03
1.060000e+04 7.002688e-06 9.943609e-02 1.459073e-03
1.070000e+04 8.058392e-06 5.772448e-02 1.404671e-03
1.080000e+04 1.108393e-05 6.497516e-02 1.431592e-03
1.090000e+04 1.505826e-05 1.508547e-01 1.743938e-03
1.100000e+04 7.391090e-06 5.496540e-02 1.535398e-03
1.110000e+04 9.075389e-06 8.435424e-02 1.988306e-03
1.120000e+04 9.349605e-06 3.329456e-01 1.898140e-03
1.130000e+04 9.284057e-06 2.378378e+00 3.766937e-03
1.140000e+04 4.989462e-05 4.244939e+00 6.596504e-03
1.150000e+04 3.069338e-05 5.418386e+00 4.537967e-03
1.160000e+04 8.774085e-06 2.885514e+00 4.641831e-03
1.170000e+04 8.822505e-05 7.900232e+00 5.726568e-03
1.180000e+04 2.160976e-06 4.670728e+00 2.047639e-03
1.190000e+04 2.331861e-07 1.822782e+00 2.532680e-03
1.200000e+04 7.922567e-06 1.306115e+00 2.751435e-03
1.210000e+04 2.892901e-06 3.615303e-01 7.685357e-04
1.220000e+04 1.961650e-06 3.185709e-01 8.561985e-04
1.230000e+04 1.852128e-06 5.974022e-01 1.070022e-03
1.240000e+04 3.631059e-06 1.535843e+00 2.953842e-03
1.250000e+04 1.934604e-05 4.718197e+00 7.331679e-03
1.260000e+04 6.260582e-06 4.292516e-01 1.866381e-03
1.270000e+04 1.792160e-05 4.760401e+00 4.443540e-03
1.280000e+04 1.322957e-05 2.287430e+00 2.248340e-03
1.290000e+04 4.104777e-06 1.084301e+00 2.758148e-03
1.300000e+04 6.787422e-06 6.140219e-01 1.692773e-03
1.310000e+04 1.250110e-07 9.707370e-01 1.165935e-03
1.320000e+04 1.874333e-05 3.651863e+00 3.700580e-03
1.330000e+04 1.529702e-06 5.680193e+00 4.922974e-03
1.340000e+04 4.762707e-05 2.239469e+00 3.728122e-03
1.350000e+04 7.249553e-06 8.372836e-01 2.831558e-03
1.360000e+04 9.769978e-06 3.046094e-01 2.217355e-03
1.370000e+04 1.211521e-05 8.179855e-02 2.135511e-03
1.380000e+04 8.210307e-06 8.988315e-02 1.336170e-03
1.390000e+04 5.211269e-06 1.060717e-01 1.236512e-03
1.400000e+04 7.237682e-06 1.472539e-01 1.803360e-03
1.410000e+04 9.679398e-06 1.209393e+00 3.129921e-03
1.420000e+04 9.212054e-06 8.096030e+00 1.028677e-02
1.430000e+04 9.821752e-06 1.985617e+00 2.390862e-03
1.440000e+04 1.713534e-08 3.335742e+00 5.878190e-03
1.450000e+04 1.955746e-05 7.519227e-01 2.845003e-03
1.460000e+04 1.099885e-05 6.916727e-02 1.808737e-03
1.470000e+04 4.238817e-06 4.463987e-02 1.659044e-03
1.480000e+04 5.087775e-06 2.084054e-02 1.453210e-03
1.490000e+04 5.223817e-06 9.241918e-02 1.451895e-03
1.500000e+04 7.089818e-06 1.014453e+00 1.703307e-03
1.510000e+04 1.261865e-05 1.036619e+00 4.244145e-03
1.520000e+04 8.876531e-06 8.085111e-01 1.822922e-03
1.530000e+04 1.233591e-05 1.403285e+01 4.466528e-03
1.540000e+04 2.629967e-05 1.140240e+00 6.694153e-03
1.550000e+04 1.435974e-05 3.261892e-01 1.743333e-03
1.560000e+04 9.056224e-06 1.186254e-01 1.727616e-03
1.570000e+04 7.639365e-06 6.263158e-02 1.289204e-03
1.580000e+04 5.914948e-06 8.976415e-02 1.071411e-03
1.590000e+04 2.236336e-06 4.258766e-01 1.908165e-03
1.600000e+04 6.676490e-06 1.985872e+00 2.523789e-03
1.610000e+04 1.354304e-05 1.695879e+00 2.284084e-03
1.620000e+04 5.741925e-06 4.535492e+00 3.468179e-03
1.630000e+04 5.521884e-06 2.223872e-01 1.319354e-03
1.640000e+04 4.116588e-06 1.622838e-01 1.974179e-03
1.650000e+04 2.788568e-06 1.510088e-01 1.045569e-03
1.660000e+04 6.264220e-07 1.535963e-01 2.006614e-03
1.670000e+04 1.066866e-06 6.523975e-01 2.004376e-03
1.680000e+04 8.335996e-06 4.371573e-01 1.877615e-03
1.690000e+04 3.198556e-06 1.470328e+00 2.641599e-03
1.700000e+04 6.691539e-07 2.396932e+00 4.549397e-03
1.710000e+04 5.444211e-06 1.054482e+00 2.609708e-03
1.720000e+04 4.722737e-07 7.860277e-01 1.913286e-03
1.730000e+04 6.339427e-06 1.576869e-01 1.484887e-03
1.740000e+04 2.793605e-06 1.284626e-01 8.968315e-04
1.750000e+04 1.553052e-06 1.901158e-01 8.210411e-04
1.760000e+04 1.111814e-05 1.930848e+00 2.532699e-03
1.770000e+04 7.277035e-06 2.686661e+00 1.968521e-03
1.780000e+04 1.090118e-06 1.829804e-01 1.395829e-03
1.790000e+04 9.405338e-07 2.670943e-01 1.051810e-03
1.800000e+04 7.274002e-07 7.598031e-02 1.078164e-03
1.810000e+04 7.472203e-07 1.783740e-01 1.072345e-03
1.820000e+04 2.133331e-06 1.077077e+00 3.026049e-03
1.830000e+04 9.841916e-06 1.175250e+00 2.032974e-03
1.840000e+04 4.142712e-07 5.225233e-01 2.450959e-03
1.850000e+04 2.995160e-07 1.986135e-01 1.157456e-03
1.860000e+04 7.146062e-06 1.403426e+00 2.502614e-03
1.870000e+04 3.275999e-06 5.879454e-01 2.804215e-03
1.880000e+04 2.805161e-06 2.897741e-01 1.942938e-03
1.890000e+04 1.488355e-06 1.115153e-01 8.952621e-04
1.900000e+04 4.126491e-07 4.818647e-02 5.313471e-04
1.910000e+04 2.120709e-06 1.335844e-01 4.678906e-04
1.920000e+04 9.544876e-07 7.407491e-02 5.588088e-04
1.930000e+04 1.008561e-07 1.796027e-01 9.365096e-04
1.940000e+04 1.623728e-05 2.549248e+00 2.344015e-03
1.950000e+04 1.811555e-06 8.216561e-01 2.202015e-03
1.960000e+04 8.126646e-07 6.150681e-01 1.971819e-03
1.970000e+04 2.311481e-07 3.138745e-01 9.624944e-04
1.980000e+04 4.922738e-07 3.105559e-02 7.233471e-04
1.990000e+04 4.621652e-08 4.293521e-02 5.520976e-04
2.000000e+04 9.203663e-08 8.629902e-02 6.713059e-04
2.010000e+04 1.699754e-07 1.317646e-01 4.093485e-04
2.020000e+04 1.374129e-07 1.534362e-01 1.537159e-03
2.030000e+04 1.053653e-06 2.199105e-01 1.674197e-03
2.040000e+04 3.124550e-06 1.628725e+00 2.362381e-03
2.050000e+04 4.064237e-06 4.077914e-01 1.837766e-03
2.060000e+04 1.431604e-06 1.305396e-01 1.024355e-03
2.070000e+04 5.940629e-08 1.024410e-01 7.063414e-04
2.080000e+04 9.041764e-08 8.385339e-02 4.489612e-04
2.090000e+04 3.234081e-07 1.282820e-01 5.716546e-04
2.100000e+04 1.348551e-06 3.267075e-01 8.532212e-04
2.110000e+04 2.169490e-07 1.200352e-01 1.435462e-03
2.120000e+04 2.168847e-07 5.448939e-01 1.308011e-03
2.130000e+04 8.552468e-07 7.140151e-01 2.123584e-03
2.140000e+04 4.471812e-07 2.330577e-01 1.546762e-03
2.150000e+04 9.004744e-07 3.554943e-02 5.185805e-04
2.160000e+04 7.498840e-07 2.565608e-01 5.544501e-04
2.170000e+04 1.545982e-07 1.221079e-01 6.506104e-04
2.180000e+04 3.394894e-07 4.032801e-02 6.075766e-04
2.190000e+04 9.636468e-07 2.022132e+00 3.770659e-03
