# iteration  l2_NN  l2_FF  l2_mFF
0.000000e+00 1.815670e+00 2.088403e+00 1.583800e+00
1.000000e+02 4.336342e+00 1.978695e+00 7.003405e-01
2.000000e+02 2.806734e+00 1.854117e+00 4.092800e-01
3.000000e+02 3.718254e+00 1.729127e+00 3.302537e-01
4.000000e+02 4.567252e+00 1.604208e+00 3.116034e-01
5.000000e+02 6.373394e+00 1.480539e+00 2.960083e-01
6.000000e+02 6.797385e+00 1.358984e+00 2.767245e-01
7.000000e+02 6.922564e+00 1.240606e+00 2.566319e-01
8.000000e+02 6.974078e+00 1.127224e+00 2.400175e-01
9.000000e+02 6.947861e+00 1.018413e+00 2.191403e-01
1.000000e+03 6.892686e+00 9.142766e-01 1.996127e-01
1.100000e+03 6.809493e+00 8.172476e-01 1.822056e-01
1.200000e+03 6.715758e+00 7.264945e-01 1.651918e-01
1.300000e+03 6.619236e+00 6.425466e-01 1.469488e-01
1.400000e+03 6.474109e+00 5.651092e-01 1.334639e-01
1.500000e+03 6.315178e+00 4.956678e-01 1.183128e-01
1.600000e+03 6.150087e+00 4.317729e-01 1.046091e-01
1.700000e+03 5.998218e+00 3.746242e-01 9.276139e-02
1.800000e+03 5.843203e+00 3.240978e-01 8.163485e-02
1.900000e+03 5.691627e+00 2.806504e-01 7.205447e-02
2.000000e+03 5.535954e+00 2.432596e-01 6.194377e-02
2.100000e+03 5.274561e+00 2.108103e-01 5.320945e-02
2.200000e+03 4.833713e+00 1.852510e-01 4.573303e-02
2.300000e+03 4.367105e+00 1.624064e-01 3.820727e-02
2.400000e+03 3.788789e+00 1.455219e-01 3.379762e-02
2.500000e+03 3.205500e+00 1.318149e-01 2.751184e-02
2.600000e+03 2.766657e+00 1.208172e-01 2.353347e-02
2.700000e+03 2.419512e+00 1.132206e-01 1.964119e-02
2.800000e+03 2.100943e+00 1.067341e-01 1.469812e-02
2.900000e+03 1.834498e+00 1.030825e-01 1.244357e-02
3.000000e+03 1.580504e+00 9.878243e-02 1.012418e-02
3.100000e+03 1.326378e+00 9.970927e-02 9.431251e-03
3.200000e+03 1.119294e+00 9.069244e-02 6.473031e-03
3.300000e+03 9.282132e-01 8.995632e-02 6.312574e-03
3.400000e+03 7.610364e-01 8.727795e-02 7.180260e-03
3.500000e+03 6.334442e-01 8.075789e-02 9.485393e-03
3.600000e+03 5.352161e-01 7.723387e-02 1.009893e-02
3.700000e+03 4.478680e-01 7.396983e-02 6.645953e-03
3.800000e+03 3.715600e-01 7.151589e-02 8.344680e-03
3.900000e+03 3.169664e-01 6.884148e-02 4.401683e-03
4.000000e+03 2.613090e-01 6.709369e-02 6.539924e-03
4.100000e+03 2.199193e-01 6.516677e-02 7.782263e-03
4.200000e+03 1.796532e-01 6.613008e-02 1.094208e-02
4.300000e+03 1.496066e-01 6.540696e-02 1.230771e-02
4.400000e+03 1.268669e-01 6.041743e-02 3.744264e-02
4.500000e+03 1.036765e-01 5.746055e-02 1.688785e-02
4.600000e+03 1.148385e-01 5.326853e-02 1.392421e-02
4.700000e+03 9.715102e-02 4.997061e-02 8.069173e-03
4.800000e+03 8.276449e-02 5.007761e-02 8.280164e-03
4.900000e+03 7.389272e-02 4.873301e-02 4.567535e-03
5.000000e+03 6.389635e-02 4.605434e-02 4.380495e-03
5.100000e+03 5.789005e-02 4.372708e-02 3.974146e-03
5.200000e+03 5.000670e-02 4.309566e-02 3.070585e-03
5.300000e+03 4.688926e-02 4.149221e-02 5.889969e-03
5.400000e+03 4.137744e-02 4.327847e-02 1.706458e-02
5.500000e+03 4.721720e-02 3.867374e-02 4.280286e-02
5.600000e+03 4.443198e-02 3.587255e-02 1.821204e-02
5.700000e+03 3.972541e-02 3.607439e-02 8.877539e-03
5.800000e+03 4.267294e-02 3.543272e-02 5.152906e-03
5.900000e+03 3.949927e-02 3.324449e-02 2.870322e-03
6.000000e+03 3.679247e-02 3.156454e-02 1.523195e-03
6.100000e+03 3.818874e-02 3.159982e-02 1.982239e-03
6.200000e+03 3.230661e-02 3.137582e-02 8.511795e-03
6.300000e+03 2.894889e-02 3.067587e-02 4.766529e-03
6.400000e+03 2.434594e-02 2.868543e-02 3.775839e-03
6.500000e+03 2.091959e-02 2.764572e-02 3.165567e-03
6.600000e+03 2.384733e-02 2.553442e-02 1.243387e-02
6.700000e+03 2.807342e-02 2.253793e-02 1.260567e-02
6.800000e+03 2.294843e-02 1.964715e-02 7.946850e-03
6.900000e+03 2.113740e-02 2.042218e-02 8.044846e-03
7.000000e+03 2.071738e-02 1.845543e-02 1.770775e-02
7.100000e+03 1.985133e-02 1.900794e-02 1.171931e-02
7.200000e+03 1.786667e-02 1.925724e-02 8.527640e-03
7.300000e+03 1.713094e-02 1.764528e-02 8.558536e-03
7.400000e+03 1.712004e-02 1.573428e-02 4.460776e-03
7.500000e+03 2.752834e-02 1.926025e-02 6.662859e-03
7.600000e+03 3.137764e-02 1.591723e-02 3.582760e-03
7.700000e+03 2.018061e-02 1.640846e-02 2.223964e-03
7.800000e+03 2.080911e-02 1.333924e-02 1.654669e-03
7.900000e+03 1.796565e-02 1.292157e-02 1.718248e-03
8.000000e+03 1.927070e-02 1.387780e-02 5.476629e-03
8.100000e+03 1.580123e-02 1.183161e-02 1.556759e-02
8.200000e+03 1.196798e-02 1.116066e-02 1.536238e-02
8.300000e+03 1.317181e-02 1.353142e-02 5.928635e-03
8.400000e+03 1.532283e-02 8.838169e-03 3.973606e-03
8.500000e+03 1.467928e-02 7.792119e-03 1.048452e-03
8.600000e+03 9.918995e-03 8.109538e-03 2.051709e-03
8.700000e+03 2.527147e-02 8.200762e-03 4.220584e-03
8.800000e+03 1.973427e-02 1.003865e-02 6.429108e-03
8.900000e+03 1.804832e-02 1.047634e-02 4.482715e-03
9.000000e+03 1.472898e-02 6.671143e-03 5.382537e-03
9.100000e+03 1.150961e-02 5.395036e-03 9.842428e-03
9.200000e+03 9.507067e-03 5.592609e-03 7.424618e-03
9.300000e+03 1.244751e-02 5.203433e-03 8.889886e-03
9.400000e+03 1.387338e-02 5.668235e-03 6.705307e-03
9.500000e+03 1.468778e-02 7.059664e-03 6.064063e-03
9.600000e+03 1.320837e-02 6.755622e-03 2.568254e-03
9.700000e+03 1.548178e-02 3.529515e-03 2.977769e-03
9.800000e+03 1.173996e-02 3.725416e-03 2.165628e-03
9.900000e+03 1.567095e-02 2.392146e-03 1.153808e-02
1.000000e+04 1.495820e-02 2.106592e-03 1.512608e-02
1.010000e+04 1.133083e-02 3.438180e-03 8.417506e-03
1.020000e+04 1.009195e-02 1.231816e-02 3.411557e-03
1.030000e+04 7.658573e-03 8.356279e-03 1.731542e-03
1.040000e+04 9.641607e-03 2.553618e-03 4.178659e-03
1.050000e+04 9.800197e-03 1.548909e-03 2.434729e-03
1.060000e+04 1.934288e-02 1.459073e-03 3.076485e-03
1.070000e+04 1.054485e-02 1.404671e-03 1.891181e-03
1.080000e+04 8.885009e-03 1.431592e-03 1.623001e-03
1.090000e+04 9.443119e-03 1.743938e-03 2.861767e-03
1.100000e+04 8.804626e-03 1.535398e-03 3.001536e-03
1.110000e+04 7.691016e-03 1.988306e-03 6.652176e-03
1.120000e+04 9.855906e-03 1.898140e-03 1.217875e-02
1.130000e+04 7.411588e-03 3.766937e-03 3.716952e-03
1.140000e+04 9.766939e-03 6.596504e-03 5.600134e-03
1.150000e+04 4.774644e-03 4.537967e-03 4.092815e-03
1.160000e+04 2.229089e-02 4.641831e-03 4.442735e-03
1.170000e+04 7.259029e-03 5.726568e-03 5.251628e-03
1.180000e+04 9.664448e-03 2.047639e-03 3.386649e-03
1.190000e+04 7.114414e-03 2.532680e-03 5.027356e-03
1.200000e+04 8.663871e-03 2.751435e-03 6.249802e-03
1.210000e+04 8.926172e-03 7.685357e-04 2.333791e-03
1.220000e+04 6.018159e-03 8.561985e-04 1.445767e-03
1.230000e+04 7.999398e-03 1.070022e-03 3.339905e-03
1.240000e+04 5.450442e-03 2.953842e-03 2.397112e-03
1.250000e+04 9.771540e-03 7.331679e-03 2.145689e-03
1.260000e+04 6.419997e-03 1.866381e-03 1.227695e-02
1.270000e+04 8.558960e-03 4.443540e-03 1.039590e-02
1.280000e+04 7.257196e-03 2.248340e-03 4.488166e-03
