# iteration  l2_NN  l2_FF  l2_mFF
9.900000e+03 2.367548e-01 2.673042e-01 2.098852e-01
1.000000e+04 2.289576e-01 2.673488e-01 2.013519e-01
1.010000e+04 2.258773e-01 2.665407e-01 2.007978e-01
1.020000e+04 2.186181e-01 2.629489e-01 1.990535e-01
1.030000e+04 2.280447e-01 2.648638e-01 2.033235e-01
1.040000e+04 2.225969e-01 2.651950e-01 1.959111e-01
1.050000e+04 2.363997e-01 2.668604e-01 2.004838e-01
1.060000e+04 2.167010e-01 2.640483e-01 1.933733e-01
1.070000e+04 2.308306e-01 2.660467e-01 1.989943e-01
1.080000e+04 2.048862e-01 2.622047e-01 1.954610e-01
1.090000e+04 2.007130e-01 2.635222e-01 1.939596e-01
1.100000e+04 1.998729e-01 2.630655e-01 1.928620e-01
1.110000e+04 2.133878e-01 2.622240e-01 1.883985e-01
1.120000e+04 2.026957e-01 2.622975e-01 1.901216e-01
1.130000e+04 2.124693e-01 2.612932e-01 1.885614e-01
1.140000e+04 2.039521e-01 2.619030e-01 1.922160e-01
1.150000e+04 2.015487e-01 2.606747e-01 1.874799e-01
1.160000e+04 1.963304e-01 2.616140e-01 1.877885e-01
1.170000e+04 1.854948e-01 2.619032e-01 1.908709e-01
1.180000e+04 2.047070e-01 2.613586e-01 1.891993e-01
1.190000e+04 1.838595e-01 2.601297e-01 1.827501e-01
1.200000e+04 1.940215e-01 2.581054e-01 1.807502e-01
1.210000e+04 1.828404e-01 2.592794e-01 1.865139e-01
1.220000e+04 1.931932e-01 2.600522e-01 1.815037e-01
1.230000e+04 1.653736e-01 2.572142e-01 1.814829e-01
1.240000e+04 1.802574e-01 2.553644e-01 1.751993e-01
1.250000e+04 1.846386e-01 2.558207e-01 1.877169e-01
1.260000e+04 1.734457e-01 2.569463e-01 1.769241e-01
1.270000e+04 1.708638e-01 2.551890e-01 1.793753e-01
1.280000e+04 1.631374e-01 2.582561e-01 1.779673e-01
1.290000e+04 1.721843e-01 2.562435e-01 1.767629e-01
1.300000e+04 1.716555e-01 2.551399e-01 1.746966e-01
1.310000e+04 1.663798e-01 2.568843e-01 1.781732e-01
1.320000e+04 1.612464e-01 2.565009e-01 1.730503e-01
1.330000e+04 1.604230e-01 2.553252e-01 1.704459e-01
1.340000e+04 1.701791e-01 2.540816e-01 1.714859e-01
1.350000e+04 1.642857e-01 2.550731e-01 1.741705e-01
1.360000e+04 1.577043e-01 2.547862e-01 1.773206e-01
1.370000e+04 1.628285e-01 2.550400e-01 1.700652e-01
1.380000e+04 1.687064e-01 2.529122e-01 1.686784e-01
1.390000e+04 1.706342e-01 2.522016e-01 1.680683e-01
1.400000e+04 1.516259e-01 2.517900e-01 1.694227e-01
1.410000e+04 1.552163e-01 2.500004e-01 1.701735e-01
