# iteration  l2_NN  l2_FF  l2_mFF
0.000000e+00 1.682188e+00 2.358264e+00 1.606916e+00
1.000000e+02 5.199698e-02 2.174255e+00 6.743564e-01
2.000000e+02 3.653604e-02 2.054155e+00 3.468681e-01
3.000000e+02 1.339486e-02 1.936503e+00 1.869666e-01
4.000000e+02 2.092526e-02 1.824218e+00 9.199494e-02
5.000000e+02 2.480934e-02 1.712663e+00 3.802870e-02
6.000000e+02 2.297151e-02 1.606064e+00 2.764952e-02
7.000000e+02 1.499943e-02 1.503808e+00 2.345913e-02
8.000000e+02 3.449307e-03 1.405289e+00 2.528858e-02
9.000000e+02 7.621646e-03 1.312294e+00 2.623840e-02
1.000000e+03 1.307794e-02 1.224061e+00 2.808840e-02
1.100000e+03 1.225480e-02 1.140210e+00 3.191792e-02
1.200000e+03 4.547219e-03 1.060341e+00 3.163040e-02
1.300000e+03 2.179738e-02 9.846020e-01 3.073844e-02
1.400000e+03 1.653435e-02 9.148510e-01 3.321010e-02
1.500000e+03 1.023359e-02 8.475317e-01 3.283025e-02
1.600000e+03 5.235853e-03 7.847291e-01 2.818595e-02
1.700000e+03 1.555011e-02 7.261412e-01 3.098485e-02
1.800000e+03 6.659234e-03 6.721748e-01 2.781203e-02
1.900000e+03 4.983935e-03 6.218079e-01 3.079195e-02
2.000000e+03 4.228783e-03 5.765320e-01 3.534368e-02
2.100000e+03 7.688798e-03 5.350013e-01 2.737503e-02
2.200000e+03 4.986895e-03 4.968628e-01 3.164643e-02
2.300000e+03 4.503558e-03 4.639869e-01 2.455983e-02
2.400000e+03 2.446541e-03 4.377485e-01 3.419021e-02
2.500000e+03 7.007364e-03 4.137901e-01 5.506609e-02
2.600000e+03 2.554210e-03 3.934512e-01 4.922396e-02
2.700000e+03 5.487780e-03 3.799512e-01 4.803243e-02
2.800000e+03 2.246313e-03 3.601893e-01 4.287945e-02
2.900000e+03 1.723162e-03 3.486521e-01 2.715761e-02
3.000000e+03 2.592604e-03 3.381886e-01 3.031441e-02
3.100000e+03 7.753426e-03 3.313787e-01 2.734015e-02
3.200000e+03 1.330528e-02 3.237661e-01 2.253435e-02
3.300000e+03 1.001264e-02 3.224108e-01 2.387665e-02
3.400000e+03 4.467673e-03 3.177895e-01 2.345450e-02
3.500000e+03 4.734675e-03 3.148136e-01 2.627120e-02
3.600000e+03 4.618311e-03 3.122989e-01 2.797178e-02
3.700000e+03 1.044194e-02 3.132488e-01 3.752890e-02
3.800000e+03 4.024224e-03 3.185628e-01 2.745803e-02
3.900000e+03 3.779537e-03 3.157009e-01 2.898076e-02
4.000000e+03 3.517670e-03 3.119414e-01 2.029685e-02
4.100000e+03 2.864410e-03 3.104589e-01 2.723401e-02
4.200000e+03 5.642681e-03 3.096975e-01 1.756569e-02
4.300000e+03 1.018668e-02 3.111945e-01 1.712938e-02
4.400000e+03 2.827263e-03 3.082413e-01 2.900563e-02
4.500000e+03 3.715406e-03 3.077280e-01 1.940213e-02
4.600000e+03 3.773592e-03 3.104987e-01 2.880673e-02
4.700000e+03 4.843305e-03 3.117631e-01 4.158899e-02
4.800000e+03 7.538514e-03 3.108479e-01 4.420130e-02
4.900000e+03 1.006790e-02 3.092065e-01 1.935827e-02
5.000000e+03 2.416466e-03 3.080322e-01 1.558872e-02
5.100000e+03 4.326944e-03 3.069790e-01 1.396643e-02
5.200000e+03 1.390869e-03 3.055277e-01 1.851720e-02
5.300000e+03 2.149839e-03 3.071210e-01 1.491335e-02
5.400000e+03 6.127282e-03 3.094037e-01 1.183044e-02
5.500000e+03 1.905932e-03 3.118708e-01 2.409577e-02
5.600000e+03 3.272890e-03 3.095588e-01 1.484034e-02
5.700000e+03 5.926047e-03 3.087139e-01 2.007875e-02
5.800000e+03 3.372189e-03 3.070307e-01 1.241205e-02
5.900000e+03 6.814667e-03 3.070334e-01 1.598792e-02
6.000000e+03 1.816449e-02 3.056721e-01 1.549314e-02
6.100000e+03 1.352763e-03 3.050143e-01 1.208571e-02
6.200000e+03 1.968946e-03 3.044276e-01 1.208758e-02
6.300000e+03 3.502168e-03 3.047092e-01 8.406355e-03
6.400000e+03 7.207839e-03 3.035619e-01 1.606686e-02
6.500000e+03 4.138171e-03 3.052035e-01 1.460708e-02
6.600000e+03 3.570837e-03 3.037669e-01 5.602119e-03
6.700000e+03 8.267389e-03 3.030718e-01 1.428482e-02
6.800000e+03 1.363112e-03 3.034709e-01 2.518020e-02
6.900000e+03 2.457355e-03 3.029502e-01 1.458972e-02
7.000000e+03 7.315536e-04 3.024987e-01 1.828643e-02
7.100000e+03 3.014425e-03 3.050282e-01 6.741009e-03
7.200000e+03 5.397448e-03 3.085883e-01 2.408804e-02
7.300000e+03 1.730193e-03 3.088977e-01 1.223561e-02
7.400000e+03 4.429248e-03 3.070046e-01 2.487919e-02
7.500000e+03 5.438717e-03 3.051848e-01 2.971041e-02
7.600000e+03 4.402409e-03 3.039771e-01 1.462863e-02
7.700000e+03 2.106625e-03 3.032236e-01 6.708820e-03
7.800000e+03 7.064769e-03 3.026823e-01 1.154541e-02
7.900000e+03 3.398664e-03 3.019817e-01 8.462813e-03
8.000000e+03 2.174716e-03 3.014391e-01 1.010427e-02
8.100000e+03 3.997371e-03 3.001401e-01 1.922767e-02
8.200000e+03 6.409481e-03 2.997750e-01 3.008414e-02
8.300000e+03 4.672653e-03 2.989281e-01 4.611476e-03
8.400000e+03 2.723983e-03 2.991753e-01 2.271386e-02
8.500000e+03 3.774580e-03 2.969623e-01 9.634972e-03
8.600000e+03 4.974358e-03 2.989713e-01 1.657864e-02
8.700000e+03 2.400247e-03 3.022585e-01 4.499738e-02
8.800000e+03 1.921163e-03 3.008451e-01 1.102082e-02
8.900000e+03 1.440558e-03 2.991449e-01 1.150699e-02
9.000000e+03 3.727865e-03 2.981999e-01 1.172525e-02
9.100000e+03 3.015569e-03 2.978266e-01 4.692507e-03
9.200000e+03 4.857732e-03 2.968212e-01 6.217703e-03
9.300000e+03 9.217689e-03 2.961306e-01 7.940070e-03
9.400000e+03 5.601640e-03 2.962130e-01 7.881353e-03
9.500000e+03 5.103178e-03 2.994323e-01 7.116350e-03
9.600000e+03 2.745840e-03 2.958318e-01 9.662800e-03
9.700000e+03 1.787820e-03 2.968963e-01 1.606119e-02
9.800000e+03 3.373413e-03 2.964360e-01 8.871051e-03
9.900000e+03 2.815968e-03 2.949306e-01 6.863694e-03
1.000000e+04 3.037283e-03 2.954302e-01 2.018081e-02
1.010000e+04 1.785957e-03 2.939394e-01 7.742095e-03
1.020000e+04 3.610339e-03 2.926953e-01 3.460431e-02
1.030000e+04 1.756245e-03 2.924278e-01 1.121199e-02
1.040000e+04 1.480385e-03 2.925880e-01 1.436841e-02
1.050000e+04 4.387617e-03 2.917924e-01 4.364937e-03
1.060000e+04 3.048062e-03 2.921892e-01 2.545607e-03
1.070000e+04 2.522217e-03 2.917349e-01 2.437826e-03
1.080000e+04 1.036059e-03 2.912910e-01 4.783069e-03
1.090000e+04 2.739719e-03 2.908118e-01 7.657418e-03
1.100000e+04 1.064015e-02 2.901388e-01 1.014016e-02
1.110000e+04 1.173245e-03 2.896696e-01 1.797178e-02
1.120000e+04 5.617489e-03 2.892127e-01 1.931977e-02
1.130000e+04 8.688553e-04 2.889200e-01 1.325627e-02
1.140000e+04 1.742475e-03 2.900340e-01 4.205934e-03
1.150000e+04 3.616793e-03 2.903131e-01 1.453747e-02
1.160000e+04 5.806974e-03 2.893015e-01 1.262259e-02
1.170000e+04 1.184281e-03 2.891817e-01 3.173631e-03
1.180000e+04 2.941971e-03 2.883985e-01 1.264878e-02
1.190000e+04 3.152347e-03 2.876175e-01 1.112179e-02
1.200000e+04 2.156521e-03 2.870366e-01 4.436480e-03
1.210000e+04 2.226825e-03 2.860338e-01 9.011646e-03
1.220000e+04 3.387632e-03 2.856275e-01 2.013654e-02
1.230000e+04 2.565302e-03 2.853098e-01 7.127107e-03
1.240000e+04 3.220240e-03 2.837597e-01 3.382262e-03
1.250000e+04 4.224478e-04 2.846766e-01 3.751611e-03
1.260000e+04 3.155233e-03 2.841769e-01 4.651948e-03
1.270000e+04 1.553344e-03 2.829849e-01 1.023881e-02
1.280000e+04 1.535869e-03 2.832501e-01 1.487395e-02
1.290000e+04 4.284339e-03 2.829483e-01 8.054381e-03
1.300000e+04 1.753206e-03 2.823394e-01 1.468773e-02
1.310000e+04 8.462627e-03 2.818207e-01 6.174498e-03
1.320000e+04 6.474120e-03 2.812621e-01 4.211013e-03
1.330000e+04 3.698737e-04 2.814842e-01 5.504538e-03
1.340000e+04 1.253761e-03 2.819445e-01 3.087689e-03
1.350000e+04 1.497772e-03 2.802084e-01 4.602139e-03
1.360000e+04 2.043798e-03 2.799546e-01 6.866705e-03
1.370000e+04 2.415040e-03 2.803937e-01 6.315497e-03
1.380000e+04 7.822644e-04 2.800909e-01 7.611011e-03
1.390000e+04 5.490837e-03 2.797715e-01 5.157346e-03
1.400000e+04 5.900850e-03 2.794634e-01 1.220937e-02
1.410000e+04 1.395410e-03 2.788788e-01 6.184788e-03
1.420000e+04 1.201857e-03 2.782719e-01 3.773699e-03
1.430000e+04 5.936966e-03 2.777284e-01 5.190649e-03
1.440000e+04 1.755041e-03 2.771578e-01 1.870978e-02
1.450000e+04 1.526199e-03 2.767130e-01 8.619450e-03
1.460000e+04 4.152163e-03 2.770657e-01 6.741387e-03
1.470000e+04 1.281572e-03 2.758879e-01 1.620864e-02
1.480000e+04 2.770776e-03 2.752864e-01 9.047830e-03
1.490000e+04 3.722226e-04 2.758007e-01 1.329643e-02
1.500000e+04 1.101569e-03 2.759378e-01 2.465536e-03
1.510000e+04 1.608163e-03 2.753759e-01 3.722819e-03
1.520000e+04 2.685792e-03 2.744164e-01 2.202753e-03
1.530000e+04 1.224085e-03 2.740037e-01 3.006047e-03
1.540000e+04 5.659055e-04 2.732069e-01 5.419526e-03
1.550000e+04 8.972185e-04 2.729573e-01 3.421836e-03
1.560000e+04 1.396581e-03 2.723956e-01 3.808835e-03
1.570000e+04 6.248412e-04 2.718224e-01 1.402988e-02
1.580000e+04 6.542857e-04 2.712500e-01 1.022434e-02
1.590000e+04 2.405315e-03 2.709960e-01 1.266140e-02
1.600000e+04 1.710235e-03 2.711996e-01 5.761287e-03
1.610000e+04 2.110985e-03 2.707493e-01 6.176923e-03
1.620000e+04 1.178864e-03 2.701830e-01 3.580004e-03
1.630000e+04 3.123264e-03 2.692468e-01 8.032812e-03
1.640000e+04 5.845866e-03 2.691132e-01 4.343284e-03
1.650000e+04 1.728602e-03 2.688546e-01 4.944919e-03
1.660000e+04 9.941065e-04 2.687578e-01 2.546401e-03
1.670000e+04 1.613089e-03 2.680029e-01 7.865281e-03
