# iteration  l2_NN  l2_FF  l2_mFF
9.900000e+03 1.841797e+00 3.748469e-01 2.661214e-02
1.000000e+04 1.851172e+00 3.755348e-01 1.282585e-02
1.010000e+04 1.882743e+00 3.742891e-01 1.556956e-02
1.020000e+04 1.780529e+00 3.749602e-01 1.016289e-02
1.030000e+04 1.652160e+00 3.734688e-01 2.930743e-02
1.040000e+04 1.597397e+00 3.735411e-01 3.310218e-02
1.050000e+04 1.683023e+00 3.751187e-01 2.051681e-02
1.060000e+04 1.739007e+00 3.746862e-01 1.886002e-02
1.070000e+04 1.761633e+00 3.742671e-01 1.314383e-02
1.080000e+04 1.861744e+00 3.746911e-01 1.324476e-02
1.090000e+04 1.881093e+00 3.741405e-01 2.459176e-02
1.100000e+04 1.985397e+00 3.734245e-01 8.019239e-03
1.110000e+04 2.024124e+00 3.729101e-01 1.108346e-02
1.120000e+04 2.015521e+00 3.728339e-01 9.862296e-03
1.130000e+04 2.018563e+00 3.720656e-01 1.283751e-02
1.140000e+04 2.217467e+00 3.734128e-01 1.050624e-02
1.150000e+04 1.999961e+00 3.729465e-01 1.201553e-02
1.160000e+04 1.988361e+00 3.727212e-01 1.521390e-02
1.170000e+04 2.255537e+00 3.733046e-01 1.618493e-02
1.180000e+04 2.311422e+00 3.730912e-01 2.136876e-02
1.190000e+04 2.241364e+00 3.726028e-01 4.209951e-02
1.200000e+04 2.119340e+00 3.728749e-01 1.272625e-02
1.210000e+04 2.211863e+00 3.722229e-01 2.114312e-02
1.220000e+04 2.208270e+00 3.737272e-01 1.344092e-02
1.230000e+04 2.318413e+00 3.735229e-01 1.141118e-02
1.240000e+04 2.268146e+00 3.730783e-01 7.270691e-03
1.250000e+04 2.303087e+00 3.734370e-01 7.520891e-03
1.260000e+04 2.262869e+00 3.728683e-01 1.137562e-02
1.270000e+04 2.188507e+00 3.721972e-01 1.162899e-02
1.280000e+04 2.232273e+00 3.732779e-01 4.637053e-03
1.290000e+04 2.304465e+00 3.721015e-01 2.821428e-02
1.300000e+04 2.412545e+00 3.712723e-01 1.424698e-02
1.310000e+04 2.298499e+00 3.709915e-01 1.540111e-02
1.320000e+04 2.265348e+00 3.714697e-01 9.361180e-03
1.330000e+04 2.343276e+00 3.707300e-01 1.332904e-02
1.340000e+04 2.258754e+00 3.711783e-01 1.116124e-02
1.350000e+04 2.178251e+00 3.717787e-01 1.592995e-02
1.360000e+04 2.222537e+00 3.700181e-01 1.725076e-02
1.370000e+04 2.253463e+00 3.705051e-01 1.026211e-02
1.380000e+04 2.300399e+00 3.721392e-01 2.265973e-02
1.390000e+04 2.231447e+00 3.716950e-01 1.460537e-02
1.400000e+04 2.035350e+00 3.715392e-01 4.175659e-03
1.410000e+04 1.947384e+00 3.707979e-01 7.227835e-03
1.420000e+04 1.997156e+00 3.706453e-01 7.684330e-03
1.430000e+04 2.012172e+00 3.703559e-01 1.149479e-02
1.440000e+04 2.178527e+00 3.703455e-01 1.093522e-02
1.450000e+04 2.025249e+00 3.702219e-01 1.206060e-02
1.460000e+04 2.110701e+00 3.694853e-01 1.282472e-02
1.470000e+04 2.312247e+00 3.689664e-01 4.762430e-03
1.480000e+04 2.491203e+00 3.691513e-01 6.938298e-03
1.490000e+04 2.335450e+00 3.707080e-01 5.797929e-03
1.500000e+04 2.432417e+00 3.694811e-01 4.715081e-03
1.510000e+04 2.630359e+00 3.680265e-01 4.740798e-03
1.520000e+04 2.587582e+00 3.682933e-01 3.652764e-03
1.530000e+04 2.674867e+00 3.681950e-01 1.239848e-02
