# iteration  loss_bc  loss_res  l2_error
0.000000e+00 1.054777e+01 4.951520e+06 2.577320e+00
1.000000e+02 8.962111e+00 5.528013e+03 2.442393e+00
2.000000e+02 7.803655e+00 1.827570e+03 2.316539e+00
3.000000e+02 6.949668e+00 1.520385e+03 2.183488e+00
4.000000e+02 6.111781e+00 9.287505e+02 2.059580e+00
5.000000e+02 5.400289e+00 6.857762e+02 1.936904e+00
6.000000e+02 4.803232e+00 5.729825e+02 1.816915e+00
7.000000e+02 4.275048e+00 3.466324e+02 1.703022e+00
8.000000e+02 3.809533e+00 2.817894e+02 1.592236e+00
9.000000e+02 3.407089e+00 2.923268e+02 1.487358e+00
1.000000e+03 3.042579e+00 2.073916e+02 1.388584e+00
1.100000e+03 2.694198e+00 1.426685e+02 1.294783e+00
1.200000e+03 2.405753e+00 1.799910e+02 1.206329e+00
1.300000e+03 2.146496e+00 1.653769e+02 1.122192e+00
1.400000e+03 1.914959e+00 1.079165e+02 1.042498e+00
1.500000e+03 1.690796e+00 1.160676e+02 9.674702e-01
1.600000e+03 1.511173e+00 1.688233e+02 8.977311e-01
1.700000e+03 1.327568e+00 1.341302e+02 8.314799e-01
1.800000e+03 1.189455e+00 9.500184e+01 7.708289e-01
1.900000e+03 1.056255e+00 9.590796e+01 7.138023e-01
2.000000e+03 9.451059e-01 8.707013e+01 6.614876e-01
2.100000e+03 8.386085e-01 1.482865e+02 6.136519e-01
2.200000e+03 7.550900e-01 4.872717e+01 5.691674e-01
2.300000e+03 6.748449e-01 1.386014e+02 5.303682e-01
2.400000e+03 6.061376e-01 1.749483e+02 4.942747e-01
2.500000e+03 5.565928e-01 1.094762e+02 4.657117e-01
2.600000e+03 5.141858e-01 1.217693e+02 4.390048e-01
2.700000e+03 4.656690e-01 4.976826e+02 4.176093e-01
2.800000e+03 4.131481e-01 6.729946e+02 4.106694e-01
2.900000e+03 3.923107e-01 4.733159e+02 3.936705e-01
3.000000e+03 3.971563e-01 1.533842e+02 3.787703e-01
3.100000e+03 3.808447e-01 8.685757e+01 3.662171e-01
3.200000e+03 3.710100e-01 8.084489e+01 3.560542e-01
3.300000e+03 3.637138e-01 1.101446e+02 3.506290e-01
3.400000e+03 3.601156e-01 2.103117e+02 3.464701e-01
3.500000e+03 3.510168e-01 2.650639e+02 3.447803e-01
3.600000e+03 3.383380e-01 1.861800e+03 3.449905e-01
3.700000e+03 3.325350e-01 1.683559e+03 3.485866e-01
3.800000e+03 3.370497e-01 5.185237e+02 3.505454e-01
3.900000e+03 3.410396e-01 3.971926e+02 3.506190e-01
4.000000e+03 3.451805e-01 7.718547e+02 3.526892e-01
4.100000e+03 3.503046e-01 1.515834e+02 3.507032e-01
4.200000e+03 3.550684e-01 7.669940e+01 3.503839e-01
4.300000e+03 3.596017e-01 1.087868e+02 3.496278e-01
4.400000e+03 3.577316e-01 1.555738e+02 3.500184e-01
4.500000e+03 3.577378e-01 2.161304e+02 3.514957e-01
4.600000e+03 3.628901e-01 5.705742e+02 3.511231e-01
4.700000e+03 3.450426e-01 2.269675e+03 3.537289e-01
4.800000e+03 3.444056e-01 6.590854e+02 3.638573e-01
4.900000e+03 3.617965e-01 1.368852e+02 3.607998e-01
5.000000e+03 3.654990e-01 5.784681e+01 3.593752e-01
5.100000e+03 3.761317e-01 1.450864e+02 3.575256e-01
5.200000e+03 3.803840e-01 1.067496e+02 3.575573e-01
5.300000e+03 3.785393e-01 1.338047e+02 3.590332e-01
5.400000e+03 3.779653e-01 1.601437e+02 3.569404e-01
5.500000e+03 3.764329e-01 7.314706e+02 3.576747e-01
5.600000e+03 3.577569e-01 2.771124e+03 3.639080e-01
5.700000e+03 3.614963e-01 5.097364e+02 3.721700e-01
5.800000e+03 3.820073e-01 5.500338e+01 3.700193e-01
5.900000e+03 3.928466e-01 2.664714e+01 3.679311e-01
6.000000e+03 3.978961e-01 1.804786e+01 3.671530e-01
6.100000e+03 3.985092e-01 1.629520e+01 3.664795e-01
6.200000e+03 4.018841e-01 2.208438e+01 3.658047e-01
6.300000e+03 3.975747e-01 3.744634e+01 3.653010e-01
6.400000e+03 3.987009e-01 1.555110e+02 3.669141e-01
6.500000e+03 3.967532e-01 3.287325e+02 3.652931e-01
6.600000e+03 3.896074e-01 2.488865e+02 3.643064e-01
6.700000e+03 4.061240e-01 3.033759e+02 3.659731e-01
6.800000e+03 4.006445e-01 4.017238e+02 3.682105e-01
6.900000e+03 3.947172e-01 1.313958e+03 3.676656e-01
7.000000e+03 3.911025e-01 5.526855e+02 3.746258e-01
7.100000e+03 4.046851e-01 3.839053e+01 3.728958e-01
7.200000e+03 4.052604e-01 4.170317e+01 3.725064e-01
7.300000e+03 4.065009e-01 2.468406e+01 3.708330e-01
7.400000e+03 4.116497e-01 5.037626e+01 3.704154e-01
7.500000e+03 4.097213e-01 5.518408e+01 3.701975e-01
7.600000e+03 4.102335e-01 1.263341e+02 3.695892e-01
7.700000e+03 4.113661e-01 1.347108e+02 3.701814e-01
7.800000e+03 4.119026e-01 3.453025e+02 3.718918e-01
7.900000e+03 4.108438e-01 2.556215e+02 3.738457e-01
8.000000e+03 4.134269e-01 7.300330e+01 3.717054e-01
8.100000e+03 4.099945e-01 4.495515e+01 3.723527e-01
8.200000e+03 4.063786e-01 9.198511e+01 3.720362e-01
8.300000e+03 4.073993e-01 2.206612e+02 3.726013e-01
8.400000e+03 4.005846e-01 5.092360e+02 3.738490e-01
8.500000e+03 4.100591e-01 8.820905e+01 3.714129e-01
8.600000e+03 4.191769e-01 2.455798e+02 3.725785e-01
8.700000e+03 4.199087e-01 3.744365e+02 3.730684e-01
8.800000e+03 4.143658e-01 1.404049e+02 3.722066e-01
8.900000e+03 4.168358e-01 1.761171e+02 3.716223e-01
9.000000e+03 4.127262e-01 1.073551e+02 3.723555e-01
9.100000e+03 4.122052e-01 1.906699e+02 3.734053e-01
9.200000e+03 3.950450e-01 2.482776e+02 3.743582e-01
9.300000e+03 4.171743e-01 4.930603e+01 3.758551e-01
9.400000e+03 4.172094e-01 5.753256e+01 3.730665e-01
9.500000e+03 4.175778e-01 9.584527e+01 3.741404e-01
9.600000e+03 4.196804e-01 7.923173e+01 3.724079e-01
9.700000e+03 4.128550e-01 1.531896e+02 3.715314e-01
9.800000e+03 4.226749e-01 5.856778e+02 3.723075e-01
9.900000e+03 4.120288e-01 1.894221e+02 3.748469e-01
1.000000e+04 4.102768e-01 2.460210e+02 3.755348e-01
