# iteration  loss_bc  loss_res  l2_error
0.000000e+00 4.459866e-01 4.111047e+06 1.716602e+00
1.000000e+02 2.540311e-03 7.359526e+03 8.462045e-01
2.000000e+02 1.109463e-01 1.236741e+03 4.735907e-01
3.000000e+02 8.066639e-02 8.017576e+02 2.342877e-01
4.000000e+02 8.729552e-02 3.974656e+02 2.116128e-01
5.000000e+02 8.939469e-02 2.314584e+02 2.172299e-01
6.000000e+02 9.075166e-02 1.948740e+02 2.084936e-01
7.000000e+02 8.942695e-02 1.292592e+02 1.973444e-01
8.000000e+02 8.279192e-02 1.070961e+02 1.771222e-01
9.000000e+02 7.958427e-02 1.060420e+02 1.710326e-01
1.000000e+03 7.877100e-02 9.265892e+01 1.672116e-01
1.100000e+03 7.126990e-02 8.141117e+01 1.600350e-01
1.200000e+03 6.859487e-02 7.715629e+01 1.506852e-01
1.300000e+03 6.411220e-02 6.965340e+01 1.457197e-01
1.400000e+03 5.965090e-02 6.785703e+01 1.412341e-01
1.500000e+03 5.670202e-02 6.733877e+01 1.358451e-01
1.600000e+03 5.437793e-02 5.298668e+01 1.318275e-01
1.700000e+03 4.963821e-02 3.746294e+01 1.294843e-01
1.800000e+03 4.669154e-02 5.747411e+01 1.237782e-01
1.900000e+03 4.244564e-02 3.577531e+01 1.141548e-01
2.000000e+03 4.201572e-02 3.897972e+01 1.159036e-01
2.100000e+03 3.656191e-02 5.092594e+01 1.088669e-01
2.200000e+03 3.454623e-02 4.148142e+01 1.053081e-01
2.300000e+03 3.387654e-02 2.166819e+01 1.063971e-01
2.400000e+03 2.907223e-02 3.226540e+01 9.950967e-02
2.500000e+03 2.812266e-02 3.300746e+01 9.815131e-02
2.600000e+03 2.647701e-02 4.119213e+01 9.611715e-02
2.700000e+03 2.457056e-02 8.873844e+01 8.819985e-02
2.800000e+03 2.409105e-02 6.323676e+01 9.028561e-02
2.900000e+03 2.263793e-02 8.271629e+01 8.281305e-02
3.000000e+03 1.966284e-02 1.099316e+02 7.999877e-02
3.100000e+03 1.775301e-02 4.675270e+01 7.965746e-02
3.200000e+03 1.652627e-02 3.111737e+01 7.664068e-02
3.300000e+03 1.408878e-02 1.505949e+02 6.836198e-02
3.400000e+03 1.299872e-02 1.373457e+02 6.501343e-02
3.500000e+03 1.199485e-02 3.234577e+02 5.158822e-02
3.600000e+03 1.211780e-02 1.128992e+03 5.404372e-02
3.700000e+03 1.697945e-02 2.310067e+02 6.746883e-02
3.800000e+03 1.599721e-02 3.106091e+02 7.692291e-02
3.900000e+03 1.462803e-02 1.192095e+02 6.750180e-02
4.000000e+03 1.417423e-02 4.275320e+01 6.982609e-02
4.100000e+03 1.268484e-02 3.769407e+01 6.997438e-02
4.200000e+03 1.290439e-02 1.516685e+02 7.069586e-02
4.300000e+03 9.987446e-03 3.272985e+02 7.151235e-02
4.400000e+03 1.057466e-02 3.057737e+02 4.941179e-02
4.500000e+03 1.103895e-02 6.895029e+02 4.498503e-02
4.600000e+03 1.226159e-02 1.257049e+03 1.034397e-01
4.700000e+03 9.605450e-03 6.415472e+02 4.923462e-02
4.800000e+03 1.061973e-02 8.202722e+01 6.071785e-02
4.900000e+03 1.224959e-02 7.009346e+01 7.322206e-02
5.000000e+03 9.636885e-03 5.350764e+01 6.238039e-02
5.100000e+03 8.437607e-03 6.666507e+01 5.998770e-02
5.200000e+03 7.877328e-03 2.145295e+02 6.056748e-02
5.300000e+03 7.967149e-03 2.769916e+02 4.299170e-02
5.400000e+03 6.161251e-03 1.699375e+02 4.488218e-02
5.500000e+03 1.014657e-02 4.237869e+02 5.331036e-02
5.600000e+03 6.544478e-03 4.320258e+02 5.210212e-02
5.700000e+03 5.187484e-03 2.994605e+02 5.457798e-02
5.800000e+03 4.701636e-03 2.166738e+02 3.049671e-02
5.900000e+03 6.501250e-03 1.183035e+02 4.369517e-02
6.000000e+03 5.395390e-03 5.486408e+01 3.762784e-02
6.100000e+03 4.082530e-03 2.335934e+02 4.164381e-02
6.200000e+03 2.905309e-03 2.516778e+02 3.692949e-02
6.300000e+03 4.875948e-03 2.278218e+02 5.292497e-02
6.400000e+03 3.729552e-03 1.673941e+02 4.197552e-02
6.500000e+03 3.232242e-03 2.692525e+02 2.785450e-02
6.600000e+03 4.384395e-03 7.745114e+02 4.659391e-02
6.700000e+03 3.044232e-03 4.139680e+02 3.677678e-02
6.800000e+03 2.400849e-03 4.423521e+01 3.000772e-02
6.900000e+03 2.282466e-03 7.626537e+01 2.925596e-02
7.000000e+03 1.639558e-03 2.874718e+01 2.740269e-02
7.100000e+03 1.778593e-03 2.427425e+01 2.929176e-02
7.200000e+03 1.305750e-03 1.464081e+02 2.708151e-02
7.300000e+03 1.527690e-03 2.122894e+02 4.125463e-02
7.400000e+03 1.221728e-03 9.588872e+02 6.419149e-02
7.500000e+03 1.535782e-03 8.794154e+02 3.870065e-02
7.600000e+03 2.188660e-03 6.230805e+01 3.289504e-02
7.700000e+03 1.680905e-03 1.540910e+01 2.669902e-02
7.800000e+03 1.843291e-03 2.736559e+01 2.695058e-02
7.900000e+03 1.378913e-03 7.653770e+01 3.694441e-02
8.000000e+03 2.092669e-03 5.464913e+01 2.517373e-02
8.100000e+03 1.455388e-03 5.356777e+01 2.321989e-02
8.200000e+03 9.172849e-04 6.302457e+01 1.986297e-02
8.300000e+03 1.135899e-03 2.097294e+01 2.217271e-02
8.400000e+03 7.692220e-04 3.742265e+01 1.918437e-02
8.500000e+03 6.185539e-04 3.434272e+01 2.700769e-02
8.600000e+03 5.182470e-04 2.314235e+02 2.228592e-02
8.700000e+03 1.585364e-03 4.062861e+02 3.938013e-02
8.800000e+03 1.386317e-03 1.011842e+02 2.211348e-02
8.900000e+03 8.524137e-04 1.575336e+02 2.995590e-02
9.000000e+03 1.182267e-03 5.947909e+01 2.141133e-02
9.100000e+03 9.441730e-04 2.606841e+01 2.514947e-02
9.200000e+03 6.785899e-04 2.777007e+01 1.836321e-02
9.300000e+03 7.429605e-04 7.396857e+01 1.497530e-02
9.400000e+03 5.844454e-04 4.846059e+01 2.649787e-02
9.500000e+03 3.533891e-04 7.363477e+01 1.566880e-02
9.600000e+03 5.382128e-04 1.288843e+02 2.890738e-02
9.700000e+03 1.123997e-03 1.303716e+02 3.744121e-02
9.800000e+03 5.266597e-04 1.251442e+02 2.513413e-02
9.900000e+03 7.599635e-04 4.316779e+01 2.661214e-02
1.000000e+04 3.375334e-04 1.890130e+01 1.282585e-02
1.010000e+04 3.145353e-04 2.677758e+01 1.556956e-02
1.020000e+04 6.384039e-05 8.462008e+01 1.016289e-02
1.030000e+04 5.753241e-04 1.542206e+02 2.930743e-02
1.040000e+04 8.668742e-04 1.163533e+02 3.310218e-02
1.050000e+04 4.797827e-04 9.498064e+01 2.051681e-02
1.060000e+04 3.293580e-04 5.186998e+01 1.886002e-02
1.070000e+04 3.586023e-04 1.852170e+01 1.314383e-02
1.080000e+04 2.451752e-04 2.661411e+01 1.324476e-02
1.090000e+04 3.113499e-04 1.439352e+02 2.459176e-02
1.100000e+04 7.085281e-05 9.380748e+01 8.019239e-03
1.110000e+04 3.212967e-04 4.214529e+01 1.108346e-02
1.120000e+04 2.117198e-04 1.667122e+01 9.862296e-03
1.130000e+04 2.690280e-04 1.462298e+01 1.283751e-02
1.140000e+04 1.066747e-04 1.862577e+01 1.050624e-02
1.150000e+04 3.671052e-04 5.735939e+01 1.201553e-02
1.160000e+04 1.990134e-04 3.119081e+01 1.521390e-02
1.170000e+04 2.055612e-04 8.322013e+01 1.618493e-02
1.180000e+04 4.247280e-04 1.832897e+02 2.136876e-02
1.190000e+04 6.910923e-04 2.244107e+02 4.209951e-02
1.200000e+04 3.046239e-04 5.174203e+01 1.272625e-02
1.210000e+04 4.695174e-04 7.195685e+01 2.114312e-02
1.220000e+04 4.132265e-04 2.344279e+01 1.344092e-02
1.230000e+04 2.004634e-04 1.985999e+01 1.141118e-02
1.240000e+04 1.060125e-04 1.850140e+01 7.270691e-03
1.250000e+04 1.592156e-04 1.967949e+01 7.520891e-03
1.260000e+04 2.124004e-04 2.516178e+01 1.137562e-02
1.270000e+04 2.442361e-04 4.902251e+01 1.162899e-02
1.280000e+04 1.303096e-04 3.583643e+01 4.637053e-03
1.290000e+04 5.709947e-06 9.389528e+01 2.821428e-02
1.300000e+04 3.902928e-05 6.292394e+01 1.424698e-02
1.310000e+04 1.982943e-04 5.412750e+01 1.540111e-02
1.320000e+04 1.654428e-04 5.113664e+01 9.361180e-03
1.330000e+04 1.698748e-04 1.999737e+01 1.332904e-02
1.340000e+04 8.107480e-05 2.652054e+01 1.116124e-02
1.350000e+04 1.195810e-04 7.610077e+01 1.592995e-02
